condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates,continued_after_choice,observation_distance_mm,observation_end_s,termination_reason
dan_silenced,23,none,False,,47.59979957588091,left,3415289622,1290198544,28.459336699188245,0.7739039376085791,0.0,0.530937142209273,False,20000,500,True,47.59979957588091,2.0,test_window_complete
dan_silenced,24,A,True,0.8587,21.143648929294493,right,1910202036,720826952,27.478037601544752,-1.2883519819671276,0.0,0.556862065708038,False,20000,500,True,47.83239114596416,2.0,test_window_complete
dan_silenced,25,B,True,0.8688,21.265841987957092,left,3947137033,3554254871,27.6636890468457,6.60364303894319,0.0,0.5390135651561884,False,20000,500,True,47.6136431561036,2.0,test_window_complete
dan_silenced,26,A,True,0.8848,21.62877852367799,right,1396475382,2772708567,26.887149386900475,9.55339378302883,0.0,0.5634243707563035,False,20000,500,True,47.90670837106915,2.0,test_window_complete
dan_silenced,27,none,False,,47.58298918993,right,3420411494,2524977041,28.898521294330056,0.47669575993772023,0.0,0.5449820982536578,False,20000,500,True,47.58298918993,2.0,test_window_complete
dan_silenced,28,A,True,1.3115,31.53306882444964,right,3049812762,1457771103,26.71283052938032,7.537562069241599,0.0,0.5482539254157259,False,20000,500,True,47.67193748584335,2.0,test_window_complete
dan_silenced,29,B,True,0.8924000000000001,21.787341566232772,right,3459555230,725354768,22.13485505389761,-15.903396098764919,0.0,0.5678496986234219,False,20000,500,True,47.28713304556212,2.0,test_window_complete
dan_silenced,30,B,True,0.8609,21.23106059858299,left,2446441635,2160239723,28.136577051378698,6.130311502599464,0.0,0.5582896971703027,False,20000,500,True,47.88966443321094,2.0,test_window_complete
dan_silenced,31,A,True,0.9481,23.229544027985867,right,730038600,3248186979,24.308607601577215,14.759854490293455,0.0,0.565635450905584,False,20000,500,True,48.199796085040546,2.0,test_window_complete
dan_silenced,32,A,True,1.1063,26.789211724264195,left,3616012249,3212606671,28.502428219207207,-3.9952700139402966,0.0,0.5737118371509545,False,20000,500,True,47.64356609755611,2.0,test_window_complete
dan_silenced,33,B,True,0.882,21.53876897939831,right,2600025322,4248454044,27.93894280539123,-0.04785650661512799,0.0,0.5465790391937904,False,20000,500,True,47.67920608705088,2.0,test_window_complete
