condition,fly_id,choice,chose_b,odor_b_side,latency_s,distance,completed,weight_a,weight_b,random_seed
paired,81,B,True,left,20.35,2.382114729588191,True,0.0,0.893941048,9881896964626259939
paired,82,B,True,left,16.05,2.279108578743993,True,0.0,0.893941048,2087444706812716008
paired,83,B,True,right,16.55,2.271547487934073,True,0.0,0.893941048,4516854640000401246
paired,84,B,True,right,18.150000000000002,2.2144651562597133,True,0.0,0.893941048,13570312370456371289
paired,85,B,True,left,21.0,2.4393143414285814,False,0.0,0.893941048,13078263041812499430
paired,86,B,True,right,16.7,2.213236492519774,True,0.0,0.893941048,6073769656442106883
paired,87,B,True,left,21.0,2.2479871025191587,False,0.0,0.893941048,3369654195849174563
paired,88,B,True,left,15.8,2.197187986648011,True,0.0,0.893941048,1693626821935568780
paired,89,B,True,left,19.0,2.2520658601450303,True,0.0,0.893941048,220658525258112820
paired,90,B,True,right,15.75,2.12184530922865,True,0.0,0.893941048,10853839663259495139
paired,91,B,True,left,19.25,2.2480993669121316,True,0.0,0.893941048,6310842815298000524
paired,92,B,True,right,19.900000000000002,2.2042692470497762,True,0.0,0.893941048,17296625986831975786
paired,93,B,True,left,13.9,2.183263488770197,True,0.0,0.893941048,12251732090514767212
paired,94,B,True,left,18.2,2.3819027151737693,True,0.0,0.893941048,1782584364640933580
paired,95,B,True,left,17.0,2.2603180541372314,True,0.0,0.893941048,565140518405068817
paired,96,B,True,right,20.3,2.2535291870683425,True,0.0,0.893941048,2859050489934283015
paired,97,B,True,right,16.7,2.176893668752215,True,0.0,0.893941048,2940842642902318875
paired,98,B,True,right,16.6,2.136831024264438,True,0.0,0.893941048,8868120851371070413
paired,99,B,True,left,18.6,2.0738486274992325,True,0.0,0.893941048,16598889010515339980
unpaired,0,A,False,right,21.0,2.2078925760748223,False,0.38145551140285083,0.39342530960609445,303958152840581829
unpaired,1,B,True,left,21.0,2.579946595377766,False,0.3898732383957396,0.38489087095680163,7390130605661587845
unpaired,2,A,False,right,18.0,2.0957889354752757,True,0.4010892350218846,0.37349635540171033,8750484797404701624
unpaired,3,A,False,left,21.0,2.99189952000905,False,0.37803883013943906,0.3966837743946161,12623234075185647810
unpaired,4,B,True,right,16.75,2.361074299956945,True,0.3733966189638557,0.40130105388000675,12834755849407823576
unpaired,5,B,True,right,16.900000000000002,2.2226004581759358,True,0.3760190602686281,0.39879789989354264,2887971104530417754
unpaired,6,A,False,right,21.0,2.5218673909440255,False,0.37710971380611186,0.39753372813555987,14134263800118843614
unpaired,7,B,True,right,17.8,2.146483762551151,True,0.3491112053157666,0.42460765246882975,8902971820929827435
unpaired,8,B,True,right,16.1,2.2751756524077216,True,0.3933570182509809,0.38138391368468727,10255539508236649260
