condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
paired,3,none,False,,47.51528715052341,right,13771258,2682531787,28.7381590728562,1.6727116538129478,0.0,0.55400211871458,False,20000,500
paired,4,B,True,1.3073000000000001,31.37459610007294,right,1462229373,3921964068,12.000567522707666,-11.70514110951544,0.0,0.5450723061840478,False,13073,431
paired,5,B,True,0.8695,21.2690183529181,right,2248537184,3855881369,12.00013938440795,-3.5092132472108846,0.0,0.5546511998616763,False,8695,387
paired,6,B,True,0.8969,21.965796403843882,left,2188516665,429466934,12.581958209105006,2.5004793903673903,0.0,0.5580886745442423,False,8969,390
paired,7,A,True,0.9057000000000001,22.16284107440634,right,2737586632,4072755056,12.002354616754046,4.566365967304938,0.0,0.5802506557125003,False,9057,391
paired,8,A,True,1.5202,36.457267759288136,left,1636764939,2234664573,21.6730347068645,-2.5018986712149074,0.0,0.5392199618385041,False,15202,453
paired,9,B,True,1.8094000000000001,43.07102376242549,left,4029204688,2943480381,24.91098981098854,2.5033903433113527,0.0,0.5384491948334147,False,18094,481
paired,10,B,True,0.8914000000000001,21.54790886502,right,2052318847,3610168554,12.001991994568355,-2.8042460471988893,0.0,0.5552478378830252,False,8914,390
paired,11,B,True,0.8692000000000001,21.25073627111482,right,754147613,4083946371,12.000396325799914,-3.2227809450993954,0.0,0.5248138792215905,False,8692,387
paired,12,A,True,1.2776,30.80865762287246,left,2638278883,2512852426,17.852011315244514,-2.500708532390769,0.0,0.554333564300758,False,12776,428
paired,13,A,True,0.8826,21.58309342523375,left,100706267,2334542786,12.00129267222414,-3.7391667521187784,0.0,0.5451441007716141,False,8826,389
paired,14,A,True,0.9806,23.88342426541037,right,3282634134,2195313851,13.816381642824487,2.503180804566878,0.0,0.5515219827612873,False,9806,399
paired,15,B,True,1.0638,25.799487737497522,left,2546732002,2411233229,14.995075309893556,2.5007765189589874,0.0,0.540127905796494,False,10638,407
paired,16,none,False,,47.65646404476543,right,3659993424,1140446677,28.606833165633677,0.07724774098515355,0.0,0.5452407739475033,False,20000,500
paired,17,A,True,0.8832000000000001,21.60765254318744,left,3998299522,3045367934,12.001310643816911,-3.4322930685859063,0.0,0.5813406824482824,False,8832,389
